City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,22,3,10,0.33,8,65,42,6
阿克苏地区,97,49,142,0.85,25,60,26,17
阿拉善盟,38,14,27,0.33,10,86,74,8
阿勒泰地区,63,32,73,0.7,14,60,53,24
阿里地区,26,3,11,0.4,4,80,50,3
安康,104,77,136,1.33,68,8,14,25
安庆,82,60,112,0.55,36,92,66,22
鞍山,47,15,46,0.87,18,45,45,17
安顺,108,80,107,0.85,28,48,50,26
安阳,91,48,129,0.9,40,56,35,27
白城,25,7,19,0.7,10,52,48,15
百色,92,68,107,1.25,26,53,22,36
白山,45,30,44,0.6,9,64,64,7
白银,69,32,85,0.65,16,83,49,66
保定,45,25,44,0.5,29,58,45,12
宝鸡,93,67,133,0.99,64,53,44,20
保山,28,10,27,0.75,4,67,45,9
包头,31,16,30,2.22,46,52,60,65
巴彦淖尔,35,10,34,0.4,26,60,49,38
巴中,94,70,106,1.38,50,7,9,7
北海,92,68,110,1.3,22,147,99,18
北京,32,5,22,0.27,10,71,62,3
蚌埠,82,60,111,0.63,42,75,53,20
本溪,51,26,50,0.7,23,35,34,27
毕节,106,79,77,1.5,48,19,16,23
滨州,29,9,28,0.77,17,60,56,16
博州,56,33,59,0.9,19,46,44,13
亳州,59,37,66,0.75,30,72,49,23
沧州,32,18,31,0.53,17,63,51,15
长春,38,14,37,0.62,20,49,48,16
常德,67,37,81,0.6,22,108,70,11
昌都,26,9,25,1.2,10,56,41,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,98,73,141,1.37,22,50,48,19
长沙,55,28,58,0.57,32,104,65,10
常熟,91,67,124,1.2,74,54,50,35
长治,38,15,37,0.7,20,78,54,14
常州,56,39,60,1.07,45,56,34,17
朝阳,47,9,46,0.68,7,52,52,10
潮州,84,57,116,0.77,28,172,117,16
承德,30,11,22,0.34,9,55,58,6
成都,130,98,154,1.1,106,45,36,18
郴州,65,38,77,0.92,17,132,83,20
赤峰,21,4,19,0.6,12,44,40,8
池州,71,50,89,0.63,56,76,56,16
重庆,108,80,124,1.2,68,11,11,17
崇左,77,56,85,1.15,18,97,66,16
楚雄州,27,7,20,0.75,7,66,53,13
滁州,64,41,76,0.57,38,81,69,18
大连,41,10,40,0.56,15,46,48,13
大理州,33,15,29,0.75,11,82,64,8
丹东,49,16,48,0.8,14,39,38,9
大庆,28,11,21,0.52,17,55,54,11
大同,29,5,23,0.86,10,63,56,17
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,34,7,33,0.45,14,63,61,27
达州,111,83,104,0.9,55,66,50,79
德宏州,20,10,19,0.55,27,29,19,15
德阳,92,68,112,0.78,35,116,57,8
德州,45,9,44,1.1,21,59,49,7
定西,57,27,61,0.65,33,71,41,25
迪庆州,55,7,57,0.3,10,72,63,7
东莞,76,55,80,1.08,40,150,111,23
东营,45,9,44,0.6,15,61,59,12
鄂尔多斯,36,8,35,0.54,21,79,62,17
恩施州,96,71,106,0.75,30,60,24,7
鄂州,64,37,75,0.7,42,75,43,14
防城港,108,80,139,1.17,36,142,107,22
佛山,67,48,80,0.8,45,129,95,16
抚顺,33,17,32,0.57,13,43,40,11
阜新,34,8,33,1.54,7,49,46,6
阜阳,60,42,67,0.53,36,70,52,17
富阳,71,22,89,0.7,38,87,80,18
福州,74,45,95,0.8,35,97,84,18
抚州,81,59,91,0.73,17,113,73,17
甘南州,55,17,57,1.2,22,74,47,7
赣州,73,49,94,1.44,28,126,97,27
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,54,17,55,0.35,13,78,69,10
广安,98,73,120,0.84,36,81,43,36
广元,78,41,104,1.3,70,17,9,22
广州,60,40,67,0.75,38,131,105,14
贵港,109,81,119,0.93,27,123,91,21
桂林,80,58,87,0.7,37,115,108,23
贵阳,89,65,125,0.87,51,52,44,37
果洛州,34,18,21,1.2,8,108,63,0
固原,59,19,65,0.53,16,87,65,14
哈尔滨,34,18,33,0.63,24,58,59,21
海北州,42,28,41,0.5,18,87,61,31
海东地区,150,115,207,1.7,51,84,31,46
海口,87,64,89,0.96,15,165,121,16
海门,65,44,77,0.77,32,62,52,19
海南州,42,7,41,0.9,10,84,56,12
海西州,37,16,36,1.0,15,74,61,22
哈密地区,60,36,67,1.15,13,82,64,8
邯郸,74,48,96,0.93,30,53,32,23
